"location","acute_time","acute_care_centre","id","x","y","silver_rehab_centre","gold_rehab_centre","rehab_time"
"Finch Hatton",244,"Townsville University Hospital",1145,148.6313,-21.14165,"Sarina Hospital","Townsville University Hospital",163.560448635
"Erakala",207,"Townsville University Hospital",1144,149.1071,-21.12326,"Sarina Hospital","Townsville University Hospital",140.68727152
"Farleigh",208,"Townsville University Hospital",1143,149.1017,-21.10705,"Sarina Hospital","Townsville University Hospital",138.78579746
"Nindaroo",214,"Townsville University Hospital",1142,149.1636,-21.05945,"Sarina Hospital","Townsville University Hospital",150.179383105
"Haliday Bay - Ball Bay",234,"Townsville University Hospital",1140,148.9879,-20.90075,"Sarina Hospital","Townsville University Hospital",152.90328946
"Calen",236,"Townsville University Hospital",1139,148.7716,-20.89849,"Sarina Hospital","Townsville University Hospital",138.947890455
"Seaforth",234,"Townsville University Hospital",1138,148.9607,-20.89524,"Sarina Hospital","Townsville University Hospital",153.326863745
"Hughenden",303,"Townsville University Hospital",1137,144.1992,-20.84553,"Townsville University Hospital","Townsville University Hospital",258.6784947
"Richmond",321,"Townsville University Hospital",1136,143.1423,-20.73186,"Townsville University Hospital","Townsville University Hospital",338.2240319
"Mount Isa",321,"Townsville University Hospital",1135,139.4993,-20.73044,"Central West Sub-Acute Service","Townsville University Hospital",514.618390395
"Cloncurry",327,"Townsville University Hospital",1134,140.5092,-20.70554,"Central West Sub-Acute Service","Townsville University Hospital",435.48477666
"Julia Creek",327,"Townsville University Hospital",1133,141.7435,-20.65701,"Central West Sub-Acute Service","Townsville University Hospital",369.235802145
"Midge Point",267,"Townsville University Hospital",1132,148.7213,-20.65029,"Sarina Hospital","Townsville University Hospital",143.567678185
"Scottville",186,"Townsville University Hospital",1131,147.8184,-20.57206,"Townsville University Hospital","Townsville University Hospital",184.6055052
"Collinsville",186,"Townsville University Hospital",1130,147.8441,-20.55341,"Townsville University Hospital","Townsville University Hospital",180.8340175
"Proserpine",196,"Townsville University Hospital",1129,148.5821,-20.40489,"Sarina Hospital","Townsville University Hospital",139.863758715
"Mount Julian",196,"Townsville University Hospital",1128,148.6196,-20.37468,"Sarina Hospital","Townsville University Hospital",142.54186006
"Hamilton Island",203,"Townsville University Hospital",1127,148.9686,-20.35179,"Sarina Hospital","Townsville University Hospital",205.832968095
"Cannonvale",196,"Townsville University Hospital",1126,148.6962,-20.2769,"Sarina Hospital","Townsville University Hospital",152.107575635
"Airlie Beach",196,"Townsville University Hospital",1125,148.7132,-20.26829,"Sarina Hospital","Townsville University Hospital",155.832968095
"Ravenswood",144,"Townsville University Hospital",1124,146.8898,-20.10146,"Townsville University Hospital","Townsville University Hospital",82.7330207
"Hideaway Bay - Dingo Beach",196,"Townsville University Hospital",1123,148.4886,-20.08489,"Sarina Hospital","Townsville University Hospital",157.02489952
"Charters Towers",152,"Townsville University Hospital",1122,146.2598,-20.07699,"Townsville University Hospital","Townsville University Hospital",90.71172953
"Merinda",183,"Townsville University Hospital",1121,148.1648,-20.01751,"Townsville University Hospital","Townsville University Hospital",128.9773991
"Bowen",183,"Townsville University Hospital",1120,148.2418,-20.01494,"Townsville University Hospital","Townsville University Hospital",136.0164966
"Camooweal",363,"Townsville University Hospital",1119,138.119,-19.92248,"Central West Sub-Acute Service","Townsville University Hospital",631.444940265
"Home Hill",136,"Townsville University Hospital",1118,147.4144,-19.66043,"Townsville University Hospital","Townsville University Hospital",70.87277856
"Ayr",136,"Townsville University Hospital",1117,147.4056,-19.57545,"Townsville University Hospital","Townsville University Hospital",61.79092973
"Brandon",136,"Townsville University Hospital",1116,147.3554,-19.55389,"Townsville University Hospital","Townsville University Hospital",55.77882303
"Kalamia Estate",136,"Townsville University Hospital",1115,147.4184,-19.53428,"Townsville University Hospital","Townsville University Hospital",67.14997686
"Giru",55,"Townsville University Hospital",1114,147.1066,-19.51333,"Townsville University Hospital","Townsville University Hospital",39.88493742
"Alva Beach",137,"Townsville University Hospital",1113,147.4799,-19.45506,"Townsville University Hospital","Townsville University Hospital",75.38588839
"Alligator Creek",39,"Townsville University Hospital",1112,146.9432,-19.42302,"Townsville University Hospital","Townsville University Hospital",23.91320446
"Cungulla",50,"Townsville University Hospital",1111,147.1112,-19.40128,"Townsville University Hospital","Townsville University Hospital",34.92663311
"Nome",33,"Townsville University Hospital",1110,146.9099,-19.37372,"Townsville University Hospital","Townsville University Hospital",17.938261
"Alice River",31,"Townsville University Hospital",1109,146.6023,-19.32778,"Townsville University Hospital","Townsville University Hospital",16.00790769
"Rangewood",28,"Townsville University Hospital",1108,146.6392,-19.31192,"Townsville University Hospital","Townsville University Hospital",13.49819877
"Townsville",30,"Townsville University Hospital",1107,146.8092,-19.26508,"Townsville University Hospital","Townsville University Hospital",15.43296472
"Black River",32,"Townsville University Hospital",1106,146.618,-19.23302,"Townsville University Hospital","Townsville University Hospital",17.40782956
"Bluewater Park",43,"Townsville University Hospital",1105,146.5138,-19.20308,"Townsville University Hospital","Townsville University Hospital",27.82355798
"Pallarenda",36,"Townsville University Hospital",1104,146.773,-19.20234,"Townsville University Hospital","Townsville University Hospital",20.55136238
"Yabulu",36,"Townsville University Hospital",1103,146.5851,-19.20155,"Townsville University Hospital","Townsville University Hospital",20.55597816
"Picnic Bay",107,"Townsville University Hospital",1102,146.8379,-19.17814,"Townsville University Hospital","Townsville University Hospital",67.93645744
"Bluewater",39,"Townsville University Hospital",1101,146.5589,-19.1675,"Townsville University Hospital","Townsville University Hospital",24.33048709
"Saunders Beach",40,"Townsville University Hospital",1100,146.6098,-19.15875,"Townsville University Hospital","Townsville University Hospital",24.8172253
"Nelly Bay",108,"Townsville University Hospital",1099,146.8484,-19.15696,"Townsville University Hospital","Townsville University Hospital",64.50439318
"Arcadia Bay",109,"Townsville University Hospital",1098,146.8651,-19.14853,"Townsville University Hospital","Townsville University Hospital",66.25233923
"Toolakea",43,"Townsville University Hospital",1097,146.5788,-19.14605,"Townsville University Hospital","Townsville University Hospital",28.14502335
"Horseshoe Bay",110,"Townsville University Hospital",1096,146.8597,-19.11815,"Townsville University Hospital","Townsville University Hospital",70.42251091
"Balgal Beach",56,"Townsville University Hospital",1095,146.4083,-19.01722,"Townsville University Hospital","Townsville University Hospital",40.98592217
"Palm Island",130,"Townsville University Hospital",1094,146.6058,-18.72665,"Townsville University Hospital","Townsville University Hospital",284.3648964
"Allingham",141,"Townsville University Hospital",1093,146.2953,-18.70771,"Townsville University Hospital","Townsville University Hospital",87.7786455
"Ingham",141,"Townsville University Hospital",1092,146.1581,-18.64706,"Townsville University Hospital","Townsville University Hospital",75.33067823
"Trebonne",141,"Townsville University Hospital",1091,146.0781,-18.62689,"Townsville University Hospital","Townsville University Hospital",80.53296272
"Taylors Beach",141,"Townsville University Hospital",1090,146.3273,-18.62407,"Townsville University Hospital","Townsville University Hospital",93.48412274
"Macknade",141,"Townsville University Hospital",1089,146.2605,-18.58664,"Townsville University Hospital","Townsville University Hospital",87.42525437
"Halifax",141,"Townsville University Hospital",1088,146.2856,-18.58094,"Townsville University Hospital","Townsville University Hospital",88.62110909
"Lucinda",141,"Townsville University Hospital",1087,146.3337,-18.52889,"Townsville University Hospital","Townsville University Hospital",95.78898402
"Georgetown",309,"Townsville University Hospital",1086,143.5479,-18.29241,"Cairns Hospital","Townsville University Hospital",313.84355355
"Cardwell",141,"Townsville University Hospital",1085,146.0227,-18.26396,"Townsville University Hospital","Townsville University Hospital",110.1552451
"Croydon",333,"Townsville University Hospital",1084,142.2422,-18.2051,"Cairns Hospital","Townsville University Hospital",409.77814442
"Tully Heads",183,"Townsville University Hospital",1083,146.0563,-18.01976,"Cairns Hospital","Townsville University Hospital",134.235945825
"Carmoo",183,"Townsville University Hospital",1082,146.0461,-17.94788,"Cairns Hospital","Townsville University Hospital",129.804441
"South Mission Beach",183,"Townsville University Hospital",1081,146.0909,-17.94652,"Cairns Hospital","Townsville University Hospital",137.109735145
"Doomadgee",375,"Townsville University Hospital",1080,138.824,-17.94141,"Central West Sub-Acute Service","Townsville University Hospital",727.27320828
